State,Online,In-Person,Pending
Alabama,0,0,0
Alaska,0,0,0
Arizona,1,1,0
Arkansas,1,1,0
California,0,0,0
Colorado,1,1,0
Connecticut,1,1,0
Delaware,0,1,0
Florida,0,0,0
Georgia,0,0,0
Hawaii,0,0,0
Idaho,0,0,0
Illinois,1,1,0
Indiana,1,1,0
Iowa,1,1,0
Kansas,1,1,0
Kentucky,0,0,0
Louisiana,1,1,0
Maine,0,0,1
Maryland,1,1,0
Massachusetts,0,0,1
Michigan,1,1,0
Minnesota,0,0,0
Mississippi,0,1,0
Missouri,0,0,0
Montana,0,1,0
Nebraska,0,0,1
Nevada,1,1,0
New Hampshire,1,1,0
New Jersey,1,1,0
New Mexico,0,1,0
New York,1,1,0
North Carolina,0,1,0
North Dakota,0,1,0
Ohio,0,0,1
Oklahoma,0,0,0
Oregon,1,1,0
Pennsylvania,1,1,0
Rhode Island,1,1,0
South Carolina,0,0,0
South Dakota,0,1,0
Tennessee,1,0,0
Texas,0,0,0
Utah,0,0,0
Vermont,0,0,0
Virginia,1,1,0
Washington,0,1,0
Washington D.C.,1,1,0
West Virginia,1,1,0
Wisconsin,0,1,0
Wyoming,1,0,0